,city,positive_count,negative_count,main_city_count,average_distance,bad_dist_count
196,Железногорск,66,39,13,,
197,Усть-Илимск,1,9,2,,
198,Тулун,0,3,0,,
199,Артём,6,63,6,,
200,Лесосибирск,0,9,6,,
201,Киселёвск,1,4,9,,
202,Тобольск,13,116,23,,
203,Прокопьевск,9,16,28,,
204,Каменск-Уральский,14,36,10,,
205,Искитим,6,3,3,,
206,Кропоткин,1,20,8,,
207,Бугуруслан,1,9,5,,
208,Боровичи,3,8,5,,
209,Ишимбай,25,9,2,,
210,Белебей,3,9,1,,
211,Мелеуз,3,11,2,,
212,Первоуральск,47,32,14,,
213,Нижний Тагил,8,83,14,,
214,Новошахтинск,1,11,2,,
215,Октябрьский,58,94,38,,
216,Энгельс,13,48,6,,
217,Тейково,2,8,3,,
218,Сызрань,2,24,30,,
219,Старый Оскол,6,93,104,,
220,Батайск,3,45,11,,
221,Алексин,7,8,11,,
222,Заинск,2,23,8,,
223,Ейск,271,249,15,,
224,Ессентуки,15,54,15,,
225,Ефремов,9,15,8,,
226,Выкса,5,19,0,,
227,Всеволожск,30,46,9,,
228,Волхов,26,26,4,,
229,Зеленокумск,1,7,5,,
230,Балтийск,3,25,1,,
231,Усолье-Сибирское,3,12,2,,
232,Тында,4,18,3,,
233,Фокино,0,7,0,,
234,Амурск,1,14,4,,
235,Шелехов,5,7,4,,
236,Партизанск,1,1,2,,
237,Нерюнгри,3,25,12,,
238,Лесозаводск,0,4,2,,
239,Краснокаменск,1,8,5,,
240,Комсомольск-на-Амуре,6,131,32,,
241,Белогорск,1,23,6,,
242,Вилючинск,4,6,4,,
243,Корсаков,2,8,9,,
244,Нижнеудинск,0,2,0,,
245,Нефтеюганск,9,73,7,,
246,Назарово,0,2,2,,
247,Надым,10,29,8,,
248,Минусинск,3,10,2,,
249,Куйбышев,0,6,1,,
250,Заводоуковск,2,11,0,,
251,Заринск,23,10,2,,
252,Еманжелинск,1,0,0,,
253,Зеленогорск,12,31,1,,
254,Тавда,0,13,0,,
255,Шарыпово,1,4,0,,
256,Ноябрьск,38,23,3,,
257,Новый Уренгой,5,70,1,,
258,Камышлов,0,3,0,,
259,Ишим,1,13,5,,
260,Ирбит,2,17,3,,
261,Дудинка,4,15,2,,
262,Барабинск,0,2,0,,
263,Асино,1,1,2,,
264,Анжеро-Судженск,3,0,2,,
265,Алейск,1,6,0,,
266,Снежинск,10,29,12,,
267,Железногорск,66,39,13,,
268,Павлово,3,24,4,,
269,Кстово,62,41,6,,
270,Крымск,15,35,3,,
271,Красноармейск,4,3,2,,
272,Котлас,20,52,30,,
273,Бугульма,1,4,3,,
274,Будённовск,2,8,2,,
275,Борисоглебск,1,13,11,,
276,Гусев,3,7,0,,
277,Богородицк,2,9,1,,
278,Благовещенск,42,77,31,,
279,Бирск,2,4,3,,
280,Бежецк,12,16,4,,
281,Белорецк,9,17,2,,
282,Белореченск,2,11,1,,
283,Малоярославец,1,11,3,,
284,Малгобек,4,8,1,,
285,Городец,8,9,3,,
286,Георгиевск,3,28,7,,
287,Печоры,1,14,0,,
288,Нерехта,0,5,0,,
289,Нарьян-Мар,26,16,2,,
290,Новодвинск,20,22,4,,
291,Новоалександровск,0,2,2,,
292,Пушкин,26,107,4,,
293,Похвистнево,1,0,2,,
294,Острогожск,0,13,8,,
295,Сунжа,0,0,1,,
296,Ртищево,0,2,1,,
297,Ростов,9,27,1,,
298,Ревда,3,11,9,,
299,Луга,25,45,11,,
300,Ливны,10,40,2,,
301,Лиски,12,58,2,,
302,Сланцы,6,14,2,,
303,Мценск,3,9,7,,
304,Михайловка,7,84,8,,
305,Североморск,5,23,7,,
306,Сестрорецк,44,22,3,,
307,Сертолово,18,16,4,,
308,Троицк,29,101,25,,
309,Торжок,12,16,14,,
310,Тихорецк,1,11,0,,
311,Чапаевск,90,50,27,,
312,Светлоград,0,2,0,,
313,Касимов,1,9,6,,
314,Карабулак,0,0,1,,
315,Лабинск,2,9,2,,
316,Кувандык,0,3,3,,
317,Кушва,7,5,7,,
318,Кумертау,1,15,1,,
319,Шуя,2,9,4,,
320,Аргун,0,0,0,,
321,Апшеронск,2,55,10,,
322,Апатиты,13,53,3,,
323,Узловая,6,2,0,,
324,Туапсе,8,43,1,,
325,Киржач,13,30,4,,
326,Кириши,45,24,4,,
327,Киреевка,1,0,0,,
328,Кингисепп,6,27,7,,
329,Кимры,1,16,8,,
330,Хадыженск,0,15,3,,
331,Анапа,32,134,12,,
332,Альметьевск,25,80,6,,
333,Александров,6,10,9,,
334,Агрыз,1,11,0,,
335,Адлер,57,184,3,,
336,Нефтекумск,0,4,2,,
337,Когалым,9,14,1,,
338,Удачный,0,4,7,,
339,Мирный,12,66,8,,
340,Николаевск-на-Амуре,0,1,0,,
341,Мегион,1,11,0,,
342,Верхняя Салда,2,12,1,,
343,Пышма,3,2,0,,
344,Бор,6,83,31,,
345,Гудермес,2,10,4,,
346,Белая Холуница,4,7,9,,
347,Советск,3,25,4,,
348,Мончегорск,17,45,4,,
349,Кандалакша,9,19,21,,
350,Канаш,39,54,2,,
351,Шумерля,2,15,1,,
352,Баксан,0,5,0,,
353,Кировск,10,34,1,,
354,Радужный,3,17,1,,
355,Усинск,2,7,4,,
356,Краснокамск,5,18,27,,
357,Губаха,5,16,3,,
358,Беслан,0,1,0,,
359,Печора,11,44,24,,
360,Моздок,0,7,0,,
361,Чусовой,1,17,1,,
362,Чайковский,4,43,6,,
363,Каспийск,3,25,6,,
364,Калач-на-Дону,3,2,4,,
365,Щёлково,45,71,6,,
366,Хасавюрт,0,13,2,,
367,Егорьевск,9,28,4,,
368,Жуковский,47,79,26,,
369,Железнодорожный,75,127,24,,
370,Красноармейск,4,3,2,,
371,Подольск,153,148,31,,
372,Наро-Фоминск,10,40,5,,
373,Протвино,3,13,2,,
374,Климовск,14,39,2,,
375,Раменское,28,47,10,,
376,Лыткарино,35,17,3,,
377,Луховицы,6,10,3,,
378,Солнечногорск,67,50,6,,
379,Можайск,6,35,5,,
380,Домодедово,60,105,23,,
381,Дмитров,12,35,20,,
382,Дедовск,9,12,1,,
383,Ступино,25,25,2,,
384,Кашира,1,17,5,,
385,Юбилейный,6,38,12,,
386,Кунгур,3,15,3,,
387,Шатура,4,13,3,,
388,Тара,2,5,0,,
389,Котовск,15,14,2,,
390,Галич,3,7,5,,
391,Кирс,2,11,1,,
392,Володарск,1,5,0,,
393,Бобров,0,2,2,,
394,Скопин,2,7,0,,
395,Лермонтов,1,1,0,,
396,Чертаново Второе,0,0,0,,
397,Орехово-Борисово,0,0,0,,
398,Выхино-Жулебино,0,0,0,,
399,Зюзино,0,2,0,,
400,Жулебино,0,0,0,,
401,Черемхово,1,2,1,,
402,Хабаровск Второй,0,0,0,,
403,Полевской,3,17,7,,
404,Красная Пресня,0,0,0,,
405,Гуково,4,14,0,,
406,Бирюлёво,0,0,0,,
407,Бибирево,0,0,0,,
408,Марьино,2,2,0,,
409,Гольяново,0,0,0,,
410,Рязанский,0,0,0,,
411,Очаково-Матвеевское,0,0,0,,
412,Новые Черёмушки,0,0,0,,
413,Раменки,1,0,0,,
414,Люблино,0,0,0,,
415,Солнцево,0,0,0,,
416,Северный,19,37,8,,
417,Тимашёвск,2,29,2,,
418,Таганский,0,0,0,,
419,Строгино,0,0,0,,
420,Кузьминки,0,1,0,,
421,Щукино,0,0,0,,
422,Туран,0,4,0,,
423,Васильевский остров,45,379,70,,
424,Вичуга,0,5,3,,
425,Вешняки,1,3,0,,
426,Венёв,0,9,0,,
427,Великий Устюг,11,8,0,,
428,Заречный,5,35,10,,
429,Задонск,0,2,1,,
430,Ершов,1,1,1,,
431,Ярцево,3,17,2,,
432,Яблоновский,5,16,1,,
433,Вытегра,2,6,2,,
434,Вышний Волочёк,10,29,4,,
435,Вырица,6,15,1,,
436,Вязники,3,14,8,,
437,Вязьма,1,13,5,,
438,Вятские Поляны,4,27,3,,
439,Волжск,0,12,1,,
440,Вольск,2,1,10,,
441,Волосово,0,2,0,,
442,Сасово,1,10,0,,
443,Зверево,0,3,1,,
444,Жигулевск,0,0,0,,
445,Зерноград,0,1,3,,
446,Зеленогорск,12,31,1,,
447,Заволжск,1,2,5,,
448,Зима,0,2,0,,
449,Зея,5,6,3,,
450,Завитинск,0,0,2,,
451,Усть-Кут,2,10,2,,
452,Свободный,3,18,5,,
453,Свирск,0,1,1,,
454,Арсеньев,3,11,7,,
455,Сковородино,0,1,2,,
456,Шимановск,0,1,0,,
457,Райчихинск,0,2,4,,
458,Могоча,0,1,0,,
459,Магдагачи,4,5,3,,
460,Киренск,0,4,2,,
461,Хилок,0,1,0,,
462,Кавалерово,1,2,0,,
463,Дальнереченск,0,6,3,,
464,Борзя,1,1,0,,
465,Бикин,0,0,2,,
466,Елизово,0,12,4,,
