,city,positive_count,negative_count,main_city_count,average_distance,bad_dist_count
859,Берлин,0,0,0,,
860,Калининский,0,0,0,,
861,Нововладыкино,0,0,0,,
862,Верхнеднепровский,6,5,9,,
863,Васюринская,0,0,9,,
864,Варениковская,1,8,0,,
865,Елизаветинская,0,5,0,,
866,Ясенская,2,4,0,,
867,Янаул,0,3,0,,
868,Алтуфьевский,0,0,0,,
869,Сосновка,3,18,5,,
870,Зуевка,0,1,0,,
871,Жуковка,8,23,7,,
872,Жирновск,2,1,0,,
873,Жердевка,0,2,2,,
874,Земетчино,2,2,0,,
875,Железногорск-Илимский,0,7,1,,
876,Слюдянка,1,8,4,,
877,Нов.Игирма,0,0,0,,
878,Марково,0,0,1,,
879,Куйтун,0,0,0,,
880,Чегдомын,0,6,3,,
881,Бодайбо,0,7,6,,
882,Шахтерск,0,0,0,,
883,Оха,3,6,2,,
884,Ноглики,1,5,2,,
885,Макаров,0,0,1,,
886,Саянск,0,0,3,,
887,Маркова,1,0,3,,
888,Невьянск,5,7,4,,
889,Муромцево,0,3,1,,
890,Мошково,0,2,1,,
891,Михайловское,0,1,6,,
892,Маслянино,1,4,2,,
893,Любинский,0,0,2,,
894,Линёво,6,5,3,,
895,Кыштым,2,17,12,,
896,Краснозерское,0,0,0,,
897,Красноуральск,1,9,2,,
898,Краснообск,4,3,2,,
899,Катайск,0,3,1,,
900,Заречный,5,35,10,,
901,Ялуторовск,2,3,2,,
902,Тюкалинск,0,6,0,,
903,Тяжинский,0,0,0,,
904,Троицкий,2,3,4,,
905,Тогучин,0,2,0,,
906,Сухой Лог,0,22,6,,
907,Шиткино,0,0,0,,
908,Селезян,0,0,0,,
909,Рудничный,0,2,1,,
910,Реж,1,15,6,,
911,Пышма,3,2,0,,
912,Павлоградка,0,2,0,,
913,Ордынское,0,0,0,,
914,Обь,2,21,1,,
915,Иланский,0,1,2,,
916,Дегтярск,6,2,0,,
917,Чунский,0,0,0,,
918,Чулым,0,1,0,,
919,Черлак,0,0,0,,
920,Буланаш,0,1,7,,
921,Болотное,0,3,2,,
922,Берёзовский,20,26,5,,
923,Берёзовка,8,11,7,,
924,Алтайское,1,3,1,,
925,Сибирский,5,1,2,,
926,Дагомыс,4,32,0,,
927,Заречный,5,35,10,,
928,Кудрово,13,67,8,,
929,Кудепста,0,0,0,,
930,Крестцы,1,3,1,,
931,Красный Кут,0,2,3,,
932,Полтавская,6,12,0,,
933,Котельниково,0,3,1,,
934,Борисовка,0,3,4,,
935,Ис,0,2,2,,
936,Инжавино,0,1,1,,
937,Иловля,0,3,2,,
938,Гулькевичи,0,14,1,,
939,Болохово,1,0,0,,
940,Медведовская,1,4,0,,
941,Майский,13,9,4,,
942,Горный,8,4,1,,
943,Глубокий,1,7,1,,
944,Петровский,0,1,5,,
945,Петровская,0,1,4,,
946,Первомайский,28,34,16,,
947,Павловская,0,0,0,,
948,Никулино,2,0,1,,
949,Наволоки,0,2,0,,
950,Навля,0,2,1,,
951,Новотитаровская,0,13,1,,
952,Новосергиевка,0,0,0,,
953,Новоминская,3,1,6,,
954,Новомихайловский,3,13,0,,
955,Новомалороссийская,0,0,0,,
956,Новоховрино,0,0,0,,
957,Новоджерелиевская,0,0,0,,
958,Новоаннинский,3,3,1,,
959,Псебай,0,3,5,,
960,Прочноокопская,0,0,4,,
961,Приволжский,2,6,1,,
962,Приморка,0,0,0,,
963,Котловка,0,0,0,,
964,Аннино,0,0,0,,
965,Покровское-Стрешнёво,0,0,0,,
966,Пашковский,4,29,3,,
967,Парголово,32,75,9,,
968,Орловский,0,0,0,,
969,Котельнич,0,10,6,,
970,Корнеево,0,0,0,,
971,Рыбацкое,0,0,0,,
972,Раевка,0,0,0,,
973,Лянгасово,0,0,2,,
974,Лиховской,0,5,2,,
975,Летник,0,0,1,,
976,Старонижестеблиевская,0,5,0,,
977,Старомышастовская,1,2,2,,
978,Староминская,0,4,0,,
979,Старолеушковская,0,0,0,,
980,Старокорсунская,0,1,1,,
981,Стародеревянковская,1,7,0,,
982,Советское,0,1,0,,
983,Советская,1,3,2,,
984,Сосновоборск,1,1,1,,
985,Сосновка,3,18,5,,
986,Сосенский,1,3,2,,
987,Сорочинск,0,2,1,,
988,Сольцы,3,2,2,,
989,Соколовый,0,0,0,,
990,Сокольники,5,4,2,,
991,Сокол,3,7,7,,
992,Мостовской,2,21,14,,
993,Михайловск,1,5,1,,
994,Металлострой,0,7,0,,
995,Самойловка,0,0,0,,
996,Самарское,0,5,1,,
997,Джигинка,0,1,0,,
998,Донской,25,8,3,,
999,Донской,25,8,3,,
